subpopbroad,subpopfine,country,subpopulation,route,ID,year,season,full_migration,agedeploy,agemigr,totaldistance,totaldistkm,cumulativedistance,cumulativedistkm,straightness,msd,msdkm,intensityuse,sinuosity,tac,start,end,durationdays,julian_start,julian_end,startlong,startlat,endlat,endlong
Valencia,Valencia,Spain,West,West,A89730,2010,spring,y,6,6,2529840,2530,2890008,2890,0.8754,8.07E+11,807417345,3.4966,0.0018,0.1911,08/03/2010 01:00,3/26/10 1:00,18,67,85,-9.58267,16.32017,38.6425,-4.423
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A89730,2011,fall,y,6,6,2692753,2693,2840249,2840,0.9481,7.85E+11,784746582,4.4274,0.001,0.0328,8/28/11 2:00,09/09/2011 02:00,12,240,252,-2.4605,40.71733,16.7175,-6.76183
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A89730,2011,spring,y,6,6,2597480,2597,3347217,3347,0.776,8.85E+11,884593448,4.1506,0.0039,0.8895,2/22/11 1:00,3/22/11 1:00,28,53,81,-10.00467,18.07,40.55817,-2.56517
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A89730,2012,fall,y,6,6,2406802,2407,2593981,2594,0.9278,7.61E+11,760876586,3.7619,0.0015,0.017,07/08/2012 02:00,8/18/12 2:00,11,220,231,-4.73667,38.3155,16.94583,-8.888
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A89730,2012,spring,y,6,6,2695543,2696,3405007,3405,0.7916,6.82E+11,682390181,3.2287,0.0014,0.0469,2/27/12 1:00,3/16/12 1:00,18,58,76,-8.18383,16.935,40.71967,-2.4495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A89730,2013,spring,y,6,6,2666341,2666,2963097,2963,0.8998,8.49E+11,848945055,3.5411,0.0025,1.2864,2/21/13 1:00,3/15/13 1:00,22,52,74,-7.774,17.1185,40.71,-2.44017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A89731,2009,fall,y,6,6,2504609,2505,3051760,3052,0.8207,7.50E+11,750128161,3.3334,0.0018,0.3046,08/09/2009 02:00,9/22/09 2:00,14,251,265,-4.304,39.1785,16.8685,-8.21517
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A89731,2010,fall,y,6,6,2537953,2538,3166362,3166,0.8015,6.78E+11,677752483,3.6484,0.0027,0.8692,06/09/2010 02:00,9/28/10 2:00,22,249,271,-3.466,38.67733,16.10983,-7.768
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A89731,2010,spring,y,6,6,2736437,2736,3111973,3112,0.8793,7.78E+11,777830521,3.9993,0.0015,0.1925,2/27/10 1:00,3/15/10 1:00,16,58,74,-7.9935,16.7335,40.82533,-1.86233
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A89731,2011,fall,y,6,6,2780811,2781,3093887,3094,0.8988,8.68E+11,868109882,3.992,0.0016,0.8734,11/09/2011 02:00,9/26/11 2:00,15,254,269,-1.83567,40.85017,16.468,-8.5335
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A89731,2011,spring,y,6,6,2819254,2819,3806073,3806,0.7407,9.48E+11,948026334,3.3155,0.0021,1.0641,2/18/11 1:00,3/15/11 1:00,25,49,74,-8.71383,16.13,40.825,-1.82617
