ID,total distance,cumulative distance,straightness,msd,intensity use,sinuosity,tac,start,end,time duration (days),julian_start,julian_end
Douro_2018_fall,2703211.88378511,3111574.15807842,0.868760230819792,1020526252844.56,3.51595818548113,0.00161755047149415,2.61633803464232e-07,2018-08-29 08:00:00,2018-09-17 07:00:00,19,241,260
Douro_2018_spring,2559475.82608152,3984494.05418152,0.642359052687126,695473048032.611,4.27590336207195,0.000141216960580187,4.09673573309765e-07,2018-02-03 06:00:00,2018-02-25 07:00:00,22,34,56
Ekhi_2018_fall,2979326.37022426,3129406.75360917,0.952041905958109,812197248440.402,4.12595647452461,9.46060854781761e-05,4.96675404548491e-08,2018-09-01 06:00:00,2018-09-16 06:00:00,15,244,259
Faia_2017_fall,2508495.73038582,2795445.48035518,0.897350976083819,532147019092.733,4.13951018240914,4.39225862957787e-05,5.5360399795526e-08,2017-08-23 08:00:00,2017-09-05 08:00:00,13,235,248
Faia_2018_spring,2599622.26683894,2846209.79657016,0.913362841337848,657159915057.16,3.86250025282177,0.000116915890924474,4.81715609625848e-07,2018-02-25 07:00:00,2018-03-17 07:00:00,20,56,76
Gardon_2016_fall,3107257.67427107,3353030.01057267,0.926701420647404,954002319321.205,4.05097354343598,0.000393510815156385,1.50867038500547e-08,2016-09-09 01:00:00,2016-09-23 00:00:00,14,253,267
Gardon_2017_fall,3329533.15429411,3529858.49658837,0.943248336303602,1346350492475.72,3.90337489505561,0.000375549415585793,7.72437317599626e-09,2017-09-08 05:00:00,2017-09-24 00:00:00,16,251,267
Gardon_2017_spring,3332838.47932389,4053859.36040106,0.822139641024488,1430211691662.81,3.18210071756531,8.48996533057722e-05,6.60838811342223e-07,2017-02-28 00:00:00,2017-03-31 06:00:00,31,59,90
Gardon_2018_fall,3368087.60272616,3715529.49484045,0.906489265501252,1286002392906.78,3.66267028766996,0.000676919860457111,1.70840287798229e-08,2018-09-09 05:00:00,2018-09-26 00:00:00,17,252,269
Gardon_2018_spring,3246909.22115341,4111562.44236816,0.789702033391293,1217720383371.1,3.41015823092456,0.000269842455649203,1.14192931769554e-07,2018-02-28,2018-03-23,23,59,82
