country,subpopulation,id.year.season,ID,year,season,full_migration,agedeploy,agemigr,totaldistkm,cumulativedistkm,straightness,durationdays,julian_start,julian_end,speed
Spain,West,A75657_2011_spring,A75657,2011,spring,y,6,6,2661.08741282665,2923.77005468575,0.910156189800864,21,59,80,139.227145461226
Spain,West,A75657_2012_fall,A75657,2012,fall,y,6,6,2802.61084658698,3056.95581682837,0.916797956698872,11,244,255,277.905074257125
Spain,West,A75657_2012_spring,A75657,2012,spring,y,6,6,2843.41195961955,3216.24047678079,0.884079402689934,17,57,74,189.190616281223
Spain,West,A75657_2013_fall,A75657,2013,fall,y,6,6,2847.80741550184,3274.62062575831,0.869660257161046,12,252,264,272.885052146526
Spain,West,A75657_2013_spring,A75657,2013,spring,y,6,6,2875.63968915381,3072.56616516118,0.935908141461603,25,56,81,122.902646606447
Spain,West,A75658_2009_fall,A75658,2009,fall,y,1,1,2641.35090863755,3398.91401430322,0.777116131070776,30,251,281,113.297133810107
Spain,West,A75659_2009_fall,A75659,2009,fall,y,6,6,2756.89925403458,3152.59491800036,0.874485725487129,17,250,267,185.446759882374
Spain,West,A75659_2010_fall,A75659,2010,fall,y,6,6,2853.10292354487,3179.73084259445,0.897278123458063,17,251,268,187.04299074085
Spain,West,A75659_2010_spring,A75659,2010,spring,y,6,6,3037.12326908345,4030.45795249664,0.753542973250006,19,59,78,212.129365920876
Spain,West,A75659_2011_spring,A75659,2011,spring,y,6,6,2989.26227085943,3265.38138625501,0.915440469968422,22,57,79,148.426426647955
Spain,West,A80419_2008_fall,A80419,2008,fall,y,6,6,2776.50734715412,3022.27581728708,0.91868099240738,14,263,277,215.876844091934
Spain,West,A80419_2009_fall,A80419,2009,fall,y,6,6,2684.45047829176,2964.97333062348,0.905387731675572,15,247,262,197.664888708232
Spain,West,A80419_2009_spring,A80419,2009,spring,y,6,6,2919.41730282947,3088.11980676117,0.945370479615998,21,47,68,147.053324131484
Spain,West,A80419_2010_fall,A80419,2010,fall,y,6,6,2780.98172980138,3099.44876729818,0.897250426960789,18,253,271,172.191598183232
Spain,West,A80419_2010_spring,A80419,2010,spring,y,6,6,3040.1493929852,3401.59478395923,0.893742372642832,16,44,60,212.599673997452
Spain,West,A80419_2011_spring,A80419,2011,spring,y,6,6,2952.41566574062,3324.6925218558,0.888026681063613,16,49,65,207.793282615987
Spain,West,A80420_2009_fall,A80420,2009,fall,y,6,6,2621.76150088,3311.83473916956,0.791634156702336,19,245,264,174.30709153524
Spain,West,A80420_2010_fall,A80420,2010,fall,y,6,6,2704.09556065015,3443.13449796879,0.785358678914628,15,251,266,229.542299864586
Spain,West,A80420_2010_spring,A80420,2010,spring,y,6,6,2730.28286182262,3254.51314675604,0.838922056450763,18,57,75,180.806285930891
Spain,West,A80420_2011_fall,A80420,2011,fall,y,6,6,2669.60614788951,2935.13175472922,0.909535370461008,12,247,259,244.594312894102
Spain,West,A80420_2011_spring,A80420,2011,spring,y,6,6,2616.51862513727,3147.51873514315,0.83129564755975,21,56,77,149.881844530626
Spain,West,A80420_2012_fall,A80420,2012,fall,y,6,6,2266.9980925387,2415.21456407738,0.938632172170882,14,246,260,172.515326005527
Spain,West,A80420_2012_spring,A80420,2012,spring,y,6,6,2756.07857890613,3655.40328898892,0.753973874020468,21,48,69,174.066823285187
Spain,West,A80420_2013_spring,A80420,2013,spring,y,6,6,2742.54437938379,3849.64503947381,0.712414872348507,33,41,74,116.655910287085
Spain,West,A89730_2009_fall,A89730,2009,fall,y,6,6,2523.17456451915,2676.507761768,0.942711469236477,11,233,244,243.318887433455
Spain,West,A89730_2010_fall,A89730,2010,fall,y,6,6,2349.72613433999,2565.69156852912,0.915825644501401,16,226,242,160.35572303307
Spain,West,A89730_2010_spring,A89730,2010,spring,y,6,6,2529.83951881138,2890.00824082688,0.87537450000058,18,67,85,160.556013379271
Spain,West,A89730_2011_fall,A89730,2011,fall,y,6,6,2692.75271647244,2840.24929741168,0.948069142707416,12,240,252,236.687441450973
Spain,West,A89730_2011_spring,A89730,2011,spring,y,6,6,2597.48009215073,3347.21669103654,0.776011932273906,28,53,81,119.543453251305
Spain,West,A89730_2012_fall,A89730,2012,fall,y,6,6,2406.8018493044,2593.98142900812,0.927840817358786,11,220,231,235.816493546193
Spain,West,A89730_2012_spring,A89730,2012,spring,y,6,6,2695.54309975548,3405.00700343625,0.791640985476742,18,58,76,189.167055746458
