id.yr.season,study,tag,id,N_locs,start_mig,end_mig
A80419_2011_spring,terra.natura-spain,80419,A80419,611,2011-02-18T07:00:00Z,2011-04-13T18:00:00Z
A80420_2009_fall,terra.natura-spain,80420,A80420,1210,2009-08-28T13:58:09.392473Z,2009-09-24T23:57:15.075892Z
A80420_2010_fall,terra.natura-spain,80420,A80420,1290,2010-09-02T12:34:47.845639Z,2010-09-28T21:11:09.216912Z
A80420_2010_spring,terra.natura-spain,80420,A80420,1105,2010-02-22T04:37:51.512358Z,2010-03-22T20:38:59.018142Z
A80420_2011_fall,terra.natura-spain,80420,A80420,1274,2011-09-02T08:26:43.197141Z,2011-10-27T22:00:00Z
A80420_2011_spring,terra.natura-spain,80420,A80420,1240,2011-01-06T07:00:00Z,2011-03-24T18:15:25.937108Z
A80420_2012_fall,terra.natura-spain,80420,A80420,1271,2012-09-01T06:12:02.379751Z,2012-11-18T23:00:00Z
A80420_2012_spring,terra.natura-spain,80420,A80420,1156,2012-02-21T01:00:00Z,2012-03-14T14:15:10.381264Z
A80420_2013_fall,terra.natura-spain,80420,A80420,14,,
A80420_2013_spring,terra.natura-spain,80420,A80420,774,2013-02-10T01:00:00Z,2013-03-23T05:28:48.875864Z
A89730_2009_fall,terra.natura-spain,89730,A89730,143,2009-08-21T02:00:00Z,2009-09-03T19:38:50.251415Z
A89730_2010_fall,terra.natura-spain,89730,A89730,155,2010-08-19T20:31:11.264260Z,2010-09-02T02:09:09.019619Z
A89730_2010_spring,terra.natura-spain,89730,A89730,103,2010-02-27T20:01:11.514639Z,2010-05-03T03:58:48.485361Z
A89730_2011_fall,terra.natura-spain,89730,A89730,138,2011-08-29T02:00:00Z,2011-09-12T00:51:48.870304Z
A89730_2011_spring,terra.natura-spain,89730,A89730,104,2011-02-22T01:00:00Z,2011-03-16T20:19:34.672080Z
A89730_2012_fall,terra.natura-spain,89730,A89730,103,2012-08-07T02:00:00Z,2012-08-18T09:03:50.196394Z
A89730_2012_spring,terra.natura-spain,89730,A89730,91,2012-03-01T01:00:00Z,2012-03-19T22:50:44.823102Z
A89730_2013_spring,terra.natura-spain,89730,A89730,65,2013-01-26T01:00:00Z,2013-03-14T00:45:50.446116Z
A89731_2009_fall,terra.natura-spain,89731,A89731,127,2009-09-07T11:13:00.304024Z,2009-09-25T13:11:13.191712Z
A89731_2010_fall,terra.natura-spain,89731,A89731,155,2010-09-04T11:47:21.046685Z,2010-09-27T02:00:00Z
A89731_2010_spring,terra.natura-spain,89731,A89731,131,2010-02-25T03:19:52.214756Z,2010-03-20T01:08:46.287372Z
A89731_2011_fall,terra.natura-spain,89731,A89731,160,2011-09-11T02:00:00Z,2011-09-26T23:57:18.850243Z
A89731_2011_spring,terra.natura-spain,89731,A89731,119,2011-02-18T01:00:00Z,2011-03-19T07:27:37.987429Z
A89731_2012_fall,terra.natura-spain,89731,A89731,41,,
A89731_2012_spring,terra.natura-spain,89731,A89731,131,2012-02-23T01:00:00Z,2012-03-19T19:17:20.673509Z
Agri_2013_fall,buechley-mideast,130662,Agri,2965,2013-09-10T08:59:03.072780Z,2013-10-01T02:42:32.953405Z
Agri_2013_spring,buechley-mideast,130662,Agri,74,,
Agri_2014_fall,buechley-mideast,130662,Agri,14,,
Agri_2014_spring,buechley-mideast,130662,Agri,2142,2014-03-21T00:00:00Z,2014-04-13T20:46:02.835317Z
Akaga_2018_fall,oppel-balkans,171362,Akaga,3739,2018-08-22T00:00:00Z,2018-09-28T07:52:51.873376Z
Akaga_2018_spring,oppel-balkans,171362,Akaga,1100,,
Amud_2018_fall,efrat-israel,180318,Amud,1556,2018-09-17T09:50:42.300053Z,2018-11-11T18:00:00Z
Anna_2018_fall,oppel-balkans,171348,Anna,1297,2018-09-02T16:17:38.150820Z,2018-09-11T20:51:34.860924Z
Aoos_2015_fall,oppel-balkans,118154,Aoos,2052,2015-08-30T10:35:42.700791Z,2015-10-09T06:00:56.814621Z
Aoos_2015_spring,oppel-balkans,118154,Aoos,462,,
Aoos_2016_fall,oppel-balkans,118154,Aoos,961,2016-09-21T02:51:01.762944Z,2016-10-17T10:11:30.219142Z
Aoos_2016_spring,oppel-balkans,118154,Aoos,1328,2016-03-16T05:00:00Z,2016-04-17T05:17:57.708035Z
Aoos_2017_fall,oppel-balkans,118154,Aoos,1033,2017-09-09T09:22:21.465991Z,2017-10-18T22:00:00Z
Aoos_2017_spring,oppel-balkans,118154,Aoos,748,2017-03-08T03:00:00Z,2017-04-05T07:34:13.705337Z
Aoos_2018_fall,oppel-balkans,118154,Aoos,833,2018-08-06T04:19:56.255244Z,2018-09-25T05:39:36.421561Z
Aoos_2018_spring,oppel-balkans,118154,Aoos,806,2018-02-27T20:01:11.514639Z,2018-05-03T03:58:48.485361Z
Aras_2012_fall,buechley-mideast,118176,Aras,1396,2012-09-05T19:22:23.510835Z,2012-12-29T19:00:00Z
Aras_2013_spring,buechley-mideast,118176,Aras,559,,
Arda_2012_fall,oppel-balkans,118147,Arda,1407,2012-09-21T05:00:00Z,2012-10-28T22:00:00Z
Arda_2013_spring,oppel-balkans,118147,Arda,204,,
Ardahan_2013_fall,buechley-mideast,210,Ardahan,3998,2013-07-02T00:00:00Z,2013-09-19T08:32:34.133060Z
Ardahan_2013_spring,buechley-mideast,210,Ardahan,212,,
Ardahan_2014_fall,buechley-mideast,210,Ardahan,1825,2014-07-02T00:00:00Z,2014-10-31T02:58:48.485361Z
Ardahan_2014_spring,buechley-mideast,210,Ardahan,3972,2014-01-02T00:00:00Z,2014-05-08T12:54:50.831921Z
Armenia2_2015_fall,buechley-mideast,48500703868,Armenia2,1496,2015-08-26T17:51:14.720623Z,2015-10-10T03:00:00Z
Armenia3_2015_fall,buechley-mideast,48500704009,Armenia3,968,2015-09-18T12:02:42.863157Z,2015-10-09T20:43:30.329428Z
Arpacay_2012_fall,buechley-mideast,118174,Arpacay,202,2012-08-21T02:00:00Z,2012-12-20T02:58:48.485361Z
Asparuh_2013_fall,oppel-balkans,131250,Asparuh,320,2013-08-06T03:00:00Z,2013-12-04T02:58:48.485361Z
Batuecasa_2017_fall,douro-spain,17020,Batuecasa,3485,2017-09-03T20:14:56.495026Z,2017-11-01T23:00:00Z
Batuecasa_2017_spring,douro-spain,17020,Batuecasa,295,,
Batuecasa_2018_fall,douro-spain,17020,Batuecasa,2351,2018-09-21T06:00:00Z,2018-10-01T05:29:28.804282Z
Batuecasa_2018_spring,douro-spain,17020,Batuecasa,2774,2018-01-18T02:00:00Z,2018-03-08T20:34:26.373644Z
BatuecasP_2017_fall,douro-spain,17022,BatuecasP,2614,2017-08-02T01:00:00Z,2017-10-17T05:58:48.448277Z
BatuecasP_2018_fall,douro-spain,17022,BatuecasP,3432,,
BatuecasP_2018_spring,douro-spain,17022,BatuecasP,3509,,
Belgin_2018_fall,oppel-balkans,171346,Belgin,832,2018-09-12T09:09:02.866056Z,2018-09-21T13:42:59.576159Z
Berenice_2013_fall,oppel-balkans,130672,Berenice,274,2013-08-29T18:14:31.543937Z,2013-09-12T17:00:00Z
Blanka_2018_fall,oppel-balkans,171345,Blanka,2024,2018-08-31T00:00:00Z,2018-10-10T23:50:13.463882Z
Boris_2015_fall,oppel-balkans,149505,Boris,1875,2015-09-14T05:00:00Z,2015-10-03T07:50:28.712970Z
Boris_2016_fall,oppel-balkans,149505,Boris,2127,2016-09-24T05:00:00Z,2016-10-09T18:46:01.228212Z
Boris_2016_spring,oppel-balkans,149505,Boris,1806,2016-02-26T22:13:40.863746Z,2016-03-26T12:05:43.079933Z
Boris_2017_fall,oppel-balkans,149505,Boris,2029,2017-09-22T05:00:00Z,2017-10-10T22:22:56.222914Z
Boris_2017_spring,oppel-balkans,149505,Boris,1829,2017-02-25T13:01:10.768220Z,2017-03-28T04:07:44.175890Z
Boris_2018_fall,oppel-balkans,149505,Boris,1985,2018-09-22T05:00:00Z,2018-10-10T08:43:06.929692Z
Boris_2018_spring,oppel-balkans,149505,Boris,1840,2018-02-25T10:22:00.941694Z,2018-03-23T04:47:44.120997Z
Boyana_2018_fall,oppel-balkans,171357,Boyana,3746,2018-09-07T00:00:00Z,2018-10-22T18:38:21.071215Z
Boyana_2018_spring,oppel-balkans,171357,Boyana,1101,,
Brieva_2016_fall,migra-spain,4404,Brieva,2032,2016-08-30T20:25:05.663933Z,2016-10-18T04:25:59.977409Z
Brieva_2017_spring,migra-spain,4404,Brieva,1240,,
Bruco_2017_fall,life.rupis-spain,48505470927,Bruco,1481,2017-09-01T17:20:21.412654Z,2017-10-05T20:00:00Z
Bruco_2018_spring,life.rupis-spain,48505470927,Bruco,24,,
Cabuk_2014_fall,buechley-mideast,132087,Cabuk,1521,2014-09-05T10:06:25.777872Z,2014-11-10T20:00:00Z
Cabuk_2015_fall,buechley-mideast,132087,Cabuk,1249,2015-10-05T19:16:58.050115Z,2015-10-26T09:43:02.414258Z
Cabuk_2015_spring,buechley-mideast,132087,Cabuk,1448,2015-05-27T21:43:47.939916Z,2015-06-30T11:39:19.391933Z
